,Sentence,Token,Tag
0,0,Uppsala,B-LOC
1,0,),O
2,0,هيّا,O
3,0,رابع,O
4,0,أكبر,O
5,0,مدينة,O
6,0,ف,O
7,0,سّويد,B-LOC
8,0,من,O
9,0,بعد,O
10,0,سطوكهولم,B-LOC
11,0,،,O
12,0,ݣوتنبورݣ,B-LOC
13,0,ؤ,O
14,0,مالمو,B-LOC
15,0,.,O
16,1,ف,O
17,1,2018,O
18,1,كان,O
19,1,عدد,O
20,1,سّكان,O
21,1,ديالها,O
22,1,172,O
23,1,،,O
24,1,402,O
25,1,.,O
26,2,أوپيك,B-ORG
27,2,(,O
28,2,ب,O
29,2,لينݣليزية,B-MISC
30,2,:,O
31,2,OPEC,B-ORG
32,2,-,O
33,2,تاتعني,O
34,2,لمنضمة,B-ORG
35,2,د,I-ORG
36,2,لبلدان,I-ORG
37,2,اللي,I-ORG
38,2,كاتصدّر,I-ORG
39,2,لپطرول,I-ORG
40,2,),O
41,2,،,O
42,2,هي,O
43,2,منضمة,O
44,2,عالمية,O
45,2,تاتجمع,O
46,2,بلدان,O
47,2,اللي,O
48,2,تيعوّل,O
49,2,لإقتصاد,O
50,2,ديالها,O
51,2,بزاف,O
52,2,على,O
53,2,لپطرول,O
54,2,.,O
55,3,تأسسات,O
56,3,هاد,O
57,3,لمنضمة,O
58,3,نهار,O
59,3,14,B-MISC
60,3,شتنبر,I-MISC
61,3,1960,I-MISC
62,3,ف,O
63,3,بغداد,B-LOC
64,3,و,O
65,3,كانو,O
66,3,فيها,O
67,3,خمسة,O
68,3,د,O
69,3,لبدان,O
70,3,(,O
71,3,لعراق,B-LOC
72,3,،,O
73,3,إيران,B-LOC
74,3,،,O
75,3,لكويت,B-LOC
76,3,،,O
77,3,السعودية,B-LOC
78,3,و,O
79,3,ڤينيزويلا,B-LOC
80,3,),O
81,3,.,O
82,4,ف,O
83,4,1965,O
84,4,،,O
85,4,رحلات,O
86,4,لمنضمة,O
87,4,،,O
88,4,و,O
89,4,ولأّ,O
90,4,لمقر,O
91,4,ديالها,O
92,4,ف,O
93,4,ڤيينا,B-LOC
94,4,،,O
95,4,واخا,O
96,4,لوطريش,B-LOC
97,4,ماشي,O
98,4,دولة,O
99,4,عضو,O
100,4,فيها,O
101,4,.,O
102,5,لمنضمة,O
103,5,فيها,O
104,5,دابا,O
105,5,13,O
106,5,د,O
107,5,لأعضاء,O
108,5,،,O
109,5,و,O
110,5,لمجموع,O
111,5,ديال,O
112,5,لإنتاج,O
113,5,ديالهم,O
114,5,د,O
115,5,لپطرول,O
116,5,تيوصل,O
117,5,لتقريبا,O
118,5,44,O
119,5,%,O
120,5,من,O
121,5,لإنتاج,O
122,5,د,O
123,5,لعالم,O
124,5,،,O
125,5,و,O
126,5,هو,O
127,5,اللي,O
128,5,تيخلي,O
129,5,لأوپيك,B-ORG
130,5,تكون,O
131,5,منضمة,O
132,5,مهمة,O
133,5,،,O
134,5,حيت,O
135,5,تقدر,O
136,5,تبدّل,O
137,5,التمن,O
138,5,د,O
139,5,ليصونص,O
140,5,ف,O
141,5,لعالم,O
142,5,ف,O
143,5,أي,O
144,5,وقت,O
145,5,.,O
146,6,تاتقول,O
147,6,لأوپيك,B-ORG
148,6,باللي,O
149,6,لغرض,O
150,6,علاش,O
151,6,تأسسات,O
152,6,هو,O
153,6,باش,O
154,6,تحيد,O
155,6,لإحتكار,O
156,6,اللي,O
157,6,كانت,O
158,6,دايراه,O
159,6,الشركات,O
160,6,د,O
161,6,لپطرول,O
162,6,ف,O
163,6,لعالم,O
164,6,،,O
165,6,و,O
166,6,باش,O
167,6,يوليو,O
168,6,لبلدان,O
169,6,هوما,O
170,6,اللي,O
171,6,تيتافقو,O
172,6,بيناتهم,O
173,6,على,O
174,6,كيفاش,O
175,6,يديرو,O
176,6,أتمنة,O
177,6,معقولة,O
178,6,و,O
179,6,مستاقرة,O
180,6,و,O
181,6,تاتسلّك,O
182,6,كلشي,O
183,6,.,O
184,7,أوپيك,B-ORG
185,7,فيها,O
186,7,دابا,O
187,7,13,O
188,7,دولة,O
189,7,اللي,O
190,7,أعضاء,O
191,7,،,O
192,7,و,O
193,7,هوما,O
194,7,:,O
195,7,الجزائر,B-LOC
196,7,أنݣولا,B-LOC
197,7,غينيا,B-LOC
198,7,ستيوائية,I-LOC
199,7,لݣابون,B-LOC
200,7,إيران,B-LOC
201,7,لعراق,B-LOC
202,7,لكويت,B-LOC
203,7,ليبيا,B-LOC
204,7,نيجيريا,B-LOC
205,7,جمهورية,B-LOC
206,7,لكونݣو,I-LOC
207,7,السعودية,B-LOC
208,7,لإمارات,B-LOC
209,7,ڤينيزويلا,B-LOC
210,7,لأمم,B-LOC
211,7,لمتحدة,I-LOC
212,7,السيط,O
213,7,ديال,O
214,7,لأوپيك,B-ORG
215,7,أوپولو,B-LOC
216,7,(,O
217,7,ب,O
218,7,الصاموية,B-MISC
219,7,:,O
220,7,Upolu,B-LOC
221,7,),O
222,7,هي,O
223,7,ݣزيرة,O
224,7,تابعة,O
225,7,للبلاد,O
226,7,دصاموا,B-LOC
227,7,وكاينة,O
228,7,فلغرب,O
229,7,تاع,O
230,7,لمحيط,O
231,7,لمهدن,O
232,7,.,O
233,8,فيها,O
234,8,75,O
235,8,كيلوميطر,O
236,8,فالطول,O
237,8,ولميساحة,O
238,8,ديالتها,O
239,8,واصلة,O
240,8,ل1125,O
241,8,كيلوميطر,O
242,8,مرباع,O
243,8,،,O
244,8,الشي,O
245,8,اللي,O
246,8,كايخلّيها,O
247,8,تكون,O
248,8,لݣزيرة,O
249,8,التانية,O
250,8,فالترتيب,O
251,8,من,O
252,8,ناحية,O
253,8,لوساعة,O
254,8,مابين,O
255,8,ݣزاير,O
256,8,صاموا,B-LOC
257,8,من,O
258,8,مورا,O
259,8,ݣزيرة,O
260,8,صاڤاي,B-LOC
261,8,.,O
262,9,من,O
263,9,ناحية,O
264,9,السكان,O
265,9,،,O
266,9,هي,O
267,9,لݣزيرة,O
268,9,لمسكونة,O
269,9,بزاف,O
270,9,وفيها,O
271,9,كتر,O
272,9,من,O
273,9,145,O
274,9,ألف,O
275,9,دلبشري,O
276,9,.,O
277,10,جات,O
278,10,أوپولو,B-LOC
279,10,فلجانوب,O
280,10,الشرقي,O
281,10,ديال,O
282,10,صاڤاي,B-LOC
283,10,.,O
284,11,مدينة,O
285,11,أپيا,B-LOC
286,11,كاينة,O
287,11,فلوصط,O
288,11,ديال,O
289,11,الساحل,O
290,11,دالشمال,O
291,11,،,O
292,11,ولمطار,O
293,11,الدولي,O
294,11,كاين,O
295,11,فلغرب,O
296,11,ديالتها,O
297,11,.,O
298,12,تاريخيا,O
299,12,لݣزيرة,O
300,12,عمّر,O
301,12,تسجل,O
302,12,فيها,O
303,12,نفيجار,O
304,12,ديال,O
305,12,شي,O
306,12,بركان,O
307,12,،,O
308,12,واخا,O
309,12,كاينين,O
310,12,أدلة,O
311,12,باللي,O
312,12,لحمم,O
313,12,فايت,O
314,12,ليهوم,O
315,12,خرجو,O
316,12,وزادو,O
317,12,على,O
